id,machine_type,facility_zone,shift,sensor_model,maintenance_strategy,load_pct,rpm,power_kw,voltage_v,power_factor,vibration_mm_s,oil_pressure_bar,coolant_temp_c,bearing_temp_c,operating_hours,days_since_maintenance,anomaly_count_7d,sensor_uptime_pct,machine_state
26883,turbine,cold_storage,night,S2,preventive,63.86,4517.5,181.22,384.24,0.8667,2.259,6.313,86.08,95.87,10801.6,72.35,0,99.1,1
26884,mixer,packaging,day,S3,preventive,71.25,1642.1,101.56,405.57,0.9114,1.997,5.182,82.65,92.05,9211.2,43.74,0,99.366,1
26885,turbine,assembly,day,S2,preventive,73.86,4871.3,216.92,386.19,0.9433,2.627,6.548,90.42,,26262.7,31.95,1,98.731,1
26886,compressor,utilities,day,S2,preventive,62.1,3081.4,106.51,406.53,0.9306,2.118,5.022,77.86,84.44,24664.3,18.77,0,99.747,1
26887,compressor,processing,evening,S2,predictive,84.97,3088.9,123.45,418.58,0.9739,3.068,5.131,84.84,101.6,9521.9,59.68,0,98.339,2
26888,conveyor,utilities,day,S1,predictive,45.93,782.4,31.97,405.25,0.8661,2.949,4.691,77.25,84.91,17660.1,82.46,0,97.392,1
26889,conveyor,processing,day,S3,reactive,50.3,854.0,32.5,398.49,0.9289,3.066,4.965,71.16,78.71,16880.6,102.04,2,100.0,1
26890,turbine,processing,night,S2,predictive,78.14,5496.7,257.56,397.26,0.9066,3.0,6.202,88.61,95.52,17807.3,96.36,0,98.846,1
26891,compressor,assembly,day,S4,reactive,59.17,2687.4,81.84,397.58,0.9459,2.645,6.015,86.02,93.37,26973.2,39.92,1,97.876,1
26892,conveyor,utilities,day,S1,predictive,70.87,1006.8,61.94,414.81,0.8928,2.426,4.7,87.74,96.6,4136.4,91.64,0,98.935,1
26893,mixer,utilities,night,S3,preventive,69.42,1497.9,100.53,402.16,0.889,2.55,4.639,96.52,100.0,17662.6,84.42,0,99.38,1
26894,compressor,packaging,night,S2,reactive,80.67,3397.9,142.85,421.62,0.8422,3.347,5.466,96.9,103.14,11928.6,101.96,3,98.409,2
26895,compressor,cold_storage,day,S3,preventive,58.62,2558.8,80.34,414.79,0.9117,2.916,5.85,84.56,96.11,25258.6,57.29,0,99.449,2
26896,conveyor,packaging,day,S1,predictive,64.4,1129.6,69.25,399.28,0.9353,2.758,,71.87,83.14,6752.1,39.83,0,98.592,2
26897,conveyor,processing,night,S2,predictive,74.48,1018.7,62.16,393.05,0.896,3.214,4.597,89.07,99.82,23442.7,87.13,1,98.999,2
26898,conveyor,packaging,night,S2,preventive,52.43,880.3,42.05,398.12,0.9616,,4.984,78.24,80.41,12791.3,55.47,1,99.623,2
26899,compressor,cold_storage,night,S1,predictive,98.52,3561.5,141.64,401.84,0.8975,2.532,6.013,97.89,109.88,6112.4,22.95,1,98.784,1
26900,conveyor,packaging,day,S3,predictive,61.59,782.9,44.52,411.91,0.8861,3.177,4.987,82.22,95.68,24082.6,95.54,0,99.293,2
26901,conveyor,processing,day,S2,reactive,53.6,963.0,46.6,401.17,0.8864,,5.274,73.11,78.85,19372.7,39.96,0,99.049,1
26902,pump,processing,day,S2,reactive,59.43,1833.4,40.42,395.52,0.9021,2.628,5.516,80.06,86.84,13803.3,78.06,0,99.605,1
26903,compressor,cold_storage,evening,S2,predictive,60.96,2936.9,102.21,393.21,0.9126,2.573,5.528,82.67,87.66,20722.7,33.4,3,98.82,1
26904,conveyor,assembly,evening,S1,reactive,65.68,1010.6,62.06,397.7,0.9097,2.917,5.004,85.45,96.74,16938.1,62.66,1,98.36,2
26905,pump,utilities,night,S1,predictive,68.9,2135.0,52.6,415.1,0.9304,1.908,5.825,84.7,91.93,17790.0,24.1,0,98.665,1
26906,pump,assembly,evening,S1,predictive,62.1,2074.3,48.72,395.6,0.9229,,5.442,76.99,85.82,21577.6,85.47,1,99.829,1
26907,compressor,packaging,evening,S1,predictive,50.71,2635.6,81.73,390.32,0.9321,2.269,5.757,74.59,85.28,22549.8,28.99,0,99.186,1
26908,turbine,utilities,day,S1,predictive,85.72,5139.7,222.56,400.68,0.9533,3.423,6.47,90.08,97.17,14241.9,2.74,0,98.39,2
26909,compressor,packaging,day,S2,predictive,73.05,2947.5,118.89,395.61,0.8872,2.262,5.619,82.38,85.5,9603.0,37.69,1,97.611,1
26910,turbine,assembly,day,S2,predictive,79.19,4428.0,201.15,377.94,0.9387,2.324,6.533,77.61,87.0,14317.4,26.38,1,99.212,1
26911,compressor,cold_storage,evening,S2,preventive,64.1,2984.4,98.1,398.59,0.9218,2.188,5.543,76.05,85.5,19855.0,25.26,0,98.805,1
26912,turbine,packaging,night,S2,reactive,63.14,4914.9,225.26,397.71,0.9166,2.703,6.405,87.48,96.75,10855.8,54.63,2,98.23,2
26913,mixer,assembly,day,S4,preventive,59.37,1606.2,109.46,405.51,0.9059,3.445,4.776,82.85,91.05,49419.4,92.58,0,98.806,1
26914,pump,assembly,night,S2,preventive,70.88,2337.4,70.98,397.39,0.9126,7.571,4.12,94.13,105.63,12798.9,79.98,4,98.089,3
26915,compressor,utilities,day,S4,predictive,83.51,3178.0,135.99,406.67,0.9075,2.88,5.737,95.53,106.48,17245.1,28.22,1,99.575,2
26916,conveyor,utilities,evening,S2,preventive,74.45,1131.0,64.56,399.76,0.9225,3.011,5.132,88.33,95.87,15770.7,44.61,1,99.003,2
26917,pump,packaging,evening,S4,preventive,68.51,1936.8,45.89,408.72,0.867,2.818,4.405,100.6,113.15,11145.0,63.56,2,99.748,3
26918,turbine,processing,night,S2,reactive,74.14,4558.7,223.76,398.7,0.8927,3.263,6.352,81.31,95.85,19038.0,56.75,0,97.731,2
26919,conveyor,cold_storage,day,S3,predictive,65.49,1068.8,55.46,398.93,0.8954,2.556,4.875,91.2,88.4,10133.0,99.65,0,99.424,1
26920,compressor,packaging,night,S3,preventive,63.46,3206.5,99.08,404.81,0.907,2.489,5.144,81.11,86.23,6841.8,61.49,0,100.0,1
26921,turbine,assembly,day,S4,reactive,41.82,4157.7,146.19,392.19,0.9063,3.105,,73.14,79.01,17314.7,155.75,0,98.745,1
26922,mixer,cold_storage,evening,S3,preventive,49.59,1394.8,71.05,385.27,0.9041,2.298,5.565,72.71,85.82,15385.2,25.64,1,95.816,1
26923,turbine,assembly,day,S2,predictive,79.75,5228.1,250.37,401.69,0.9196,3.462,6.039,78.49,91.24,12403.5,46.5,1,99.618,1
26924,conveyor,processing,day,S3,preventive,70.56,1123.0,71.6,409.98,0.9091,2.568,4.67,86.87,99.83,25943.1,31.44,1,99.224,2
26925,pump,packaging,evening,S1,reactive,52.46,1875.1,43.18,419.45,0.9137,3.081,5.274,66.33,72.34,7681.7,133.78,2,99.354,1
26926,compressor,packaging,night,S2,reactive,81.19,3186.2,125.23,419.68,0.9341,1.935,5.954,96.88,97.34,14945.1,13.02,0,99.801,2
26927,turbine,cold_storage,day,S2,reactive,79.91,5563.8,271.02,399.03,0.9048,2.227,6.271,83.52,86.6,16017.8,29.0,0,99.851,1
26928,compressor,packaging,day,S2,preventive,60.91,2996.9,87.05,392.69,0.8979,4.547,6.276,77.84,95.78,22655.5,45.51,1,99.012,3
26929,conveyor,utilities,night,S2,preventive,54.03,931.3,52.0,399.73,0.9395,2.454,4.943,79.48,88.09,20072.7,41.95,2,99.962,1
26930,mixer,assembly,day,S3,predictive,70.65,1731.2,122.36,404.75,0.9389,2.418,5.178,86.09,94.75,21198.0,17.82,0,99.243,1
26931,pump,processing,evening,S2,preventive,51.38,1769.7,37.86,392.05,0.9076,2.549,4.516,73.55,80.3,16301.8,34.83,1,98.729,1
26932,conveyor,cold_storage,day,S3,preventive,44.33,858.4,36.67,395.99,0.9177,2.405,4.827,78.48,83.1,4877.6,45.82,0,98.568,1
26933,pump,cold_storage,day,S3,preventive,43.91,1649.3,33.76,383.05,0.9279,2.673,5.357,74.28,80.6,23861.6,52.72,2,100.0,1
26934,compressor,processing,evening,S2,reactive,83.03,3327.1,132.67,393.57,0.8968,3.283,5.085,89.52,98.1,39800.1,6.78,0,99.085,2
26935,mixer,cold_storage,night,S1,predictive,70.07,1454.5,93.98,397.66,0.9192,1.862,4.539,77.64,88.2,27020.4,7.34,0,99.013,1
26936,mixer,packaging,evening,S2,predictive,75.43,1558.0,108.45,408.39,0.9696,2.604,4.925,82.26,89.11,24544.2,28.26,0,98.502,1
26937,conveyor,assembly,day,S3,preventive,39.4,948.4,36.26,399.0,0.9005,1.95,4.553,75.84,86.56,28039.5,23.75,1,98.523,1
26938,pump,cold_storage,night,S2,reactive,52.5,1924.9,43.54,405.32,0.9278,2.571,5.335,72.64,83.09,10503.1,82.86,2,98.364,1
26939,mixer,packaging,day,S3,predictive,63.16,1768.5,119.12,399.12,0.9477,1.529,5.316,75.68,83.7,3256.1,35.94,0,99.989,1
26940,mixer,packaging,evening,S2,preventive,44.75,1334.5,60.1,407.75,0.8992,2.349,4.861,73.71,81.22,17361.2,19.39,1,99.253,2
26941,pump,utilities,evening,S3,reactive,85.43,2286.3,70.89,401.89,0.8451,2.65,5.056,87.46,92.72,20910.5,46.81,3,99.393,1
26942,turbine,assembly,day,S2,predictive,67.68,5068.1,195.22,402.75,0.9157,3.182,5.988,82.16,97.65,31894.6,34.26,1,97.224,2
26943,pump,processing,day,S3,reactive,72.83,2196.2,59.12,408.05,0.8912,3.244,5.054,79.72,89.28,6914.0,94.52,1,98.241,2
26944,compressor,packaging,night,S2,reactive,51.51,2111.3,60.83,422.36,0.9371,4.846,6.155,62.43,78.39,27128.2,10.22,4,99.015,1
26945,mixer,cold_storage,night,S2,predictive,63.51,1403.9,89.51,407.57,0.9502,1.533,5.381,76.94,84.15,5227.5,63.12,1,99.554,1
26946,conveyor,utilities,evening,S4,preventive,51.85,868.3,38.7,417.55,0.8872,2.552,4.772,83.24,93.24,16851.3,28.83,0,97.752,1
26947,turbine,processing,evening,S1,reactive,84.18,5123.0,257.66,408.11,0.9071,2.295,5.734,83.83,90.06,16676.0,7.54,0,98.27,1
26948,mixer,processing,evening,S3,preventive,79.61,1509.2,108.18,380.77,0.9391,3.311,5.45,87.96,95.68,15476.9,36.1,0,99.337,2
26949,pump,cold_storage,night,S1,preventive,60.02,2099.2,44.26,399.94,0.922,2.392,5.12,76.57,85.77,35042.1,24.54,0,99.647,1
26950,turbine,utilities,evening,S3,predictive,55.6,4417.6,149.77,415.29,0.9073,2.468,6.519,83.73,91.78,17149.6,18.59,1,98.953,1
26951,pump,packaging,day,S1,reactive,78.86,2614.6,67.74,409.39,0.8546,3.569,5.759,82.22,90.86,9975.1,99.4,2,98.552,3
26952,pump,assembly,night,S1,preventive,71.95,2188.3,51.86,395.5,0.919,2.051,4.733,81.59,89.24,29067.0,40.95,1,97.882,2
26953,conveyor,processing,day,S2,preventive,79.96,1051.6,69.69,391.25,0.9146,2.16,5.286,90.4,97.73,8059.8,8.7,0,98.029,1
26954,pump,processing,evening,S1,preventive,66.91,2164.3,60.72,414.53,0.9023,2.075,5.712,84.31,92.78,17784.8,14.68,1,97.181,1
26955,compressor,processing,night,S4,reactive,56.67,2753.1,86.18,395.99,0.9163,3.865,5.64,84.34,88.9,20324.5,157.49,1,99.193,2
26956,mixer,cold_storage,day,S2,preventive,77.76,1642.9,124.32,403.22,0.8698,2.749,5.458,84.33,92.45,32928.4,30.9,0,98.554,1
26957,turbine,packaging,evening,S1,reactive,84.63,4858.5,198.41,402.73,0.9314,3.168,5.716,86.87,95.11,8651.9,88.9,1,98.388,2
26958,compressor,assembly,night,S2,predictive,45.44,2378.6,64.11,380.76,0.8954,2.9,,71.42,85.79,18119.7,53.34,0,99.201,1
26959,mixer,processing,day,S3,preventive,66.14,1440.1,96.49,399.22,0.8959,2.373,5.584,73.32,85.98,11428.5,42.94,0,98.305,1
26960,mixer,cold_storage,evening,S3,preventive,87.61,1850.2,153.97,398.53,0.9268,3.539,4.788,82.74,98.73,24312.1,46.12,0,99.287,2
26961,compressor,cold_storage,day,S2,predictive,79.0,3089.0,113.61,388.53,0.9315,3.338,6.214,80.58,93.8,32966.0,30.25,0,98.7,2
26962,turbine,cold_storage,day,S1,reactive,90.67,5911.6,314.72,398.3,0.9353,3.9,4.99,91.89,107.5,17426.9,64.55,0,97.567,3
26963,turbine,assembly,day,S2,predictive,62.28,5355.0,228.14,383.28,0.8756,2.608,6.278,83.76,95.04,33802.6,12.1,0,98.286,1
26964,turbine,packaging,night,S2,predictive,65.49,5603.7,237.62,405.92,0.9389,1.771,6.99,73.09,85.74,9705.2,44.09,0,98.95,1
26965,turbine,processing,day,S1,reactive,69.35,5248.0,231.41,396.41,0.9493,2.421,6.031,88.3,100.2,26146.1,65.0,0,98.847,1
26966,compressor,assembly,evening,S2,preventive,81.01,3115.6,128.75,399.55,0.9404,2.454,5.508,95.79,105.65,8592.7,98.28,1,99.159,2
26967,pump,utilities,evening,S3,preventive,72.64,2010.4,54.78,402.89,0.982,1.815,5.032,84.71,91.51,8553.8,32.45,0,99.388,1
26968,conveyor,cold_storage,evening,S2,predictive,64.37,913.0,44.96,400.06,0.925,3.178,4.74,91.69,102.61,20941.7,23.44,0,99.132,2
26969,conveyor,assembly,night,S2,preventive,43.51,847.6,34.86,400.46,0.9677,,4.306,80.04,89.74,16556.2,55.5,0,98.735,1
26970,pump,cold_storage,evening,S2,preventive,41.5,1886.7,35.84,394.62,0.8488,3.008,5.451,75.82,85.14,61989.0,18.52,2,99.649,1
26971,pump,packaging,day,S4,predictive,45.83,2022.6,36.67,399.11,0.8938,2.008,,66.32,74.09,13404.1,9.14,0,98.589,1
26972,conveyor,cold_storage,evening,S2,preventive,81.75,881.7,56.23,383.97,0.9215,2.742,4.616,84.66,91.25,15346.7,20.82,0,98.688,2
26973,pump,processing,night,S2,predictive,57.2,2176.3,48.17,403.16,0.9198,2.223,4.972,,83.57,6346.8,108.37,0,98.52,1
26974,conveyor,processing,evening,S4,reactive,83.73,998.7,68.01,371.67,0.8926,3.323,4.729,94.84,104.49,22327.5,45.26,1,98.511,3
26975,mixer,assembly,day,S3,reactive,67.3,1495.0,101.79,396.55,0.8894,4.042,3.831,80.02,86.74,18619.2,120.8,1,98.19,3
26976,turbine,processing,day,S1,preventive,61.38,4567.2,175.51,403.92,0.901,2.729,5.999,87.75,94.67,12336.5,18.1,0,98.704,2
26977,pump,processing,night,S1,preventive,55.81,1825.3,39.05,409.19,0.887,2.816,5.299,82.3,95.1,15537.5,19.5,0,97.882,1
26978,compressor,utilities,night,S3,reactive,60.47,3280.9,108.62,385.86,0.9349,1.871,5.28,87.03,91.86,7233.6,30.36,1,99.893,1
26979,conveyor,utilities,day,S2,predictive,56.15,888.7,43.56,410.13,0.9082,2.731,4.909,73.74,80.91,4331.1,57.62,0,98.501,1
26980,compressor,packaging,day,S2,preventive,79.5,3524.4,120.68,350.28,0.916,2.387,5.853,89.82,96.26,11805.3,26.83,1,99.972,2
26981,conveyor,assembly,evening,S2,predictive,63.87,1041.6,57.59,398.05,0.9564,2.725,5.133,90.13,98.42,13039.7,55.25,1,98.591,2
26982,turbine,processing,day,S3,preventive,86.19,5143.8,225.17,413.21,0.9261,2.142,6.538,87.93,96.48,7124.7,14.72,0,99.935,1
26983,conveyor,assembly,day,S2,reactive,37.92,703.1,26.56,401.05,0.8918,2.781,4.327,71.01,77.58,20169.5,81.93,0,99.289,2
26984,conveyor,packaging,night,S3,preventive,77.04,989.1,61.34,410.24,0.8761,3.07,4.283,90.82,105.87,25828.8,25.55,0,99.052,2
26985,compressor,processing,day,S1,preventive,62.6,2806.3,89.78,390.1,0.9192,2.456,6.098,87.74,91.3,9159.4,41.57,1,98.191,1
26986,conveyor,packaging,day,S2,predictive,59.86,1069.6,54.68,398.54,0.9211,1.955,4.996,82.24,90.06,13448.4,17.76,0,99.438,1
26987,pump,processing,evening,S4,preventive,97.18,2628.8,92.29,395.7,0.9097,3.314,5.263,89.07,93.94,11250.7,52.13,2,,2
26988,pump,processing,day,S1,predictive,59.96,1996.8,45.29,370.98,0.8124,2.269,5.656,79.2,,8008.4,60.62,1,99.408,1
26989,compressor,packaging,night,S4,predictive,64.81,2501.3,85.11,403.52,0.9665,2.22,6.16,89.62,99.2,20099.0,42.09,1,99.158,1
26990,pump,processing,night,S1,reactive,67.1,2216.1,57.64,400.06,0.9103,3.339,5.658,87.01,103.27,31072.9,54.55,0,99.633,3
26991,compressor,packaging,night,S3,reactive,70.23,2749.4,87.59,397.58,0.9045,2.711,4.963,81.89,95.2,14047.6,93.87,0,98.936,2
26992,pump,cold_storage,night,S1,predictive,79.52,2408.5,67.3,399.94,0.9169,2.825,5.366,86.91,94.59,13193.4,49.99,1,97.957,2
26993,compressor,assembly,evening,S1,predictive,80.76,3238.6,120.55,410.5,0.9301,2.286,6.025,87.11,99.45,19860.1,25.49,0,98.229,1
26994,compressor,cold_storage,evening,S1,preventive,97.01,3451.8,156.13,389.23,0.881,3.131,5.734,98.79,104.41,2413.9,41.06,0,98.79,1
26995,pump,processing,evening,S1,predictive,98.1,2743.5,96.01,394.45,0.8951,3.462,4.846,93.98,106.95,14601.7,39.03,0,98.227,2
26996,compressor,packaging,day,S2,preventive,86.39,3291.7,132.5,394.09,0.9166,3.535,6.001,86.84,94.14,17240.2,50.78,2,96.017,3
26997,turbine,cold_storage,evening,S2,predictive,100.71,5932.5,343.13,399.18,0.9465,5.322,4.497,95.4,108.88,22589.8,48.24,1,99.755,3
26998,compressor,assembly,evening,S3,preventive,74.52,2563.6,98.99,397.35,0.9424,2.052,6.137,83.01,92.96,17515.4,14.21,0,99.143,1
26999,pump,processing,night,S3,preventive,72.18,2205.0,60.0,393.7,0.9494,2.353,4.984,93.02,101.33,7654.9,1.34,0,98.725,2
27000,compressor,assembly,day,S2,predictive,72.79,3101.6,99.89,401.84,0.936,2.581,5.159,93.9,107.82,38564.0,19.23,1,100.0,2
27001,pump,processing,night,S4,preventive,63.6,1907.7,46.06,408.86,0.9242,2.088,5.768,84.0,86.71,13301.5,24.34,3,98.326,1
27002,turbine,utilities,day,S2,reactive,72.8,4369.5,204.06,406.81,0.9103,1.254,5.825,84.9,95.1,13435.0,11.63,0,99.262,1
27003,mixer,utilities,day,S3,preventive,60.42,1448.4,91.58,402.49,0.9369,2.366,5.276,85.59,,20393.2,31.19,0,98.773,1
27004,mixer,cold_storage,evening,S3,preventive,101.08,1776.9,171.88,389.95,0.9285,3.571,5.524,98.28,108.28,6162.2,73.88,4,99.139,3
27005,mixer,processing,day,S2,predictive,65.42,1627.8,116.35,404.38,0.9022,2.408,5.542,77.6,92.43,15289.2,58.41,0,99.157,1
27006,turbine,packaging,evening,S2,preventive,72.26,5260.2,261.33,406.79,0.9124,3.029,5.499,85.67,94.6,20345.9,95.68,1,,3
27007,pump,assembly,day,S3,predictive,62.47,2120.6,42.77,401.45,0.9617,2.314,5.654,89.1,94.99,21194.6,11.49,0,99.421,1
27008,pump,assembly,evening,S2,preventive,51.06,2062.6,49.89,386.28,0.9041,2.834,5.545,72.5,84.27,28426.2,43.75,1,99.742,1
27009,pump,assembly,evening,S3,predictive,73.17,2348.1,58.99,403.81,0.9125,2.436,5.785,89.57,100.75,15916.6,9.73,0,98.417,1
27010,pump,utilities,day,S4,preventive,67.68,2116.8,50.91,411.0,0.9229,2.537,5.007,86.37,93.5,13547.0,63.39,0,99.471,1
27011,turbine,processing,day,S1,preventive,94.92,5364.0,329.57,392.49,0.8684,4.622,5.586,98.58,108.56,17095.5,121.62,1,99.183,2
27012,pump,utilities,evening,S2,preventive,75.02,2300.8,58.38,401.2,0.9242,2.934,5.034,90.55,99.47,14149.3,120.92,0,99.081,2
27013,turbine,cold_storage,day,S3,reactive,70.42,5289.5,212.63,405.15,0.8892,2.614,5.685,93.62,102.32,6640.2,48.97,0,98.826,2
27014,compressor,processing,night,S2,predictive,78.9,3153.6,117.96,397.1,0.9048,2.467,5.429,90.38,94.37,16813.8,36.2,0,98.278,2
27015,conveyor,packaging,day,S3,preventive,40.27,916.6,33.25,393.84,0.9323,1.632,5.155,77.84,85.78,11061.8,27.1,0,98.845,1
27016,pump,cold_storage,night,S4,predictive,94.78,2092.6,63.22,407.02,0.9066,2.664,5.629,90.48,99.96,12419.9,27.42,0,100.0,1
27017,pump,assembly,day,S4,preventive,51.68,1997.8,42.88,402.16,0.9479,2.748,5.229,79.66,92.97,14081.0,52.69,0,99.313,3
27018,pump,packaging,day,S3,reactive,65.33,1996.7,45.86,413.36,0.9593,1.766,6.125,90.94,98.37,22803.8,20.06,0,99.672,1
27019,compressor,utilities,night,S2,predictive,57.63,3020.8,94.35,392.99,0.9267,1.977,5.92,78.76,82.6,14870.2,32.97,0,98.998,1
27020,conveyor,assembly,day,S4,preventive,42.31,743.2,28.33,405.58,0.948,2.819,4.227,66.66,78.3,20686.2,59.88,2,99.306,1
27021,compressor,cold_storage,day,S3,predictive,58.59,2854.5,74.17,386.4,0.8903,,4.611,90.99,98.89,9079.8,29.69,1,99.364,1
27022,turbine,cold_storage,day,S1,predictive,64.99,4188.0,160.1,371.48,0.9123,1.839,6.264,81.42,86.31,5350.9,8.92,1,98.735,1
27023,compressor,utilities,day,S2,reactive,63.16,3091.7,92.75,402.68,0.9272,2.139,5.558,80.86,90.43,15917.3,10.45,0,98.94,1
27024,pump,processing,day,S4,preventive,96.23,2672.3,91.91,398.8,0.906,3.362,5.499,106.12,117.76,7898.3,27.15,1,98.917,3
27025,pump,processing,day,S3,preventive,62.87,2276.9,54.91,391.03,0.9186,1.572,5.399,85.92,93.59,7959.6,34.75,1,99.684,1
27026,turbine,utilities,day,S3,reactive,58.31,4287.7,160.68,394.54,0.9524,2.709,6.867,79.3,,8697.4,69.12,0,100.0,1
27027,compressor,assembly,day,S1,reactive,66.37,3344.2,106.61,402.3,0.9175,2.411,6.181,83.06,96.43,6390.0,81.15,1,99.032,1
27028,pump,packaging,day,S3,preventive,58.72,2074.5,43.82,399.48,0.9469,1.335,6.168,76.93,82.05,15409.9,9.94,1,98.93,1
27029,compressor,cold_storage,evening,S4,preventive,92.14,3266.7,150.01,387.19,0.8611,,5.912,84.13,96.18,17938.5,92.64,0,98.567,2
27030,turbine,utilities,day,S2,preventive,82.34,5390.3,270.01,396.35,0.9538,2.022,6.172,90.63,102.4,7189.1,23.48,0,99.452,1
27031,compressor,processing,day,S3,reactive,75.96,3242.1,115.92,402.47,0.8776,3.143,5.95,91.3,98.46,44449.6,28.34,1,99.573,3
27032,compressor,processing,evening,S4,predictive,101.48,3436.6,172.4,389.59,0.9336,3.089,5.428,101.13,109.2,28503.8,34.65,0,97.578,2
27033,conveyor,utilities,night,S1,reactive,79.54,1174.4,65.33,409.39,0.9177,2.582,4.917,97.91,103.25,5143.5,26.4,0,99.253,2
27034,pump,processing,night,S1,preventive,78.03,2101.6,58.94,393.27,0.8748,3.035,5.196,88.37,100.26,17025.5,67.75,0,99.538,2
27035,conveyor,packaging,day,S3,preventive,45.59,927.1,35.12,408.06,0.9335,2.855,5.3,65.24,78.31,16406.4,22.04,1,100.0,1
27036,mixer,cold_storage,day,S3,preventive,86.21,1473.4,127.64,405.98,0.9109,2.704,5.079,83.99,90.05,14451.3,40.24,0,98.987,1
27037,mixer,processing,evening,S4,preventive,71.56,1645.7,113.95,390.37,0.9454,2.083,5.317,81.66,90.01,15906.7,44.24,0,99.491,1
27038,pump,processing,day,S1,preventive,79.71,2297.9,69.1,394.34,0.9496,3.31,5.012,96.46,104.15,6922.0,53.99,2,98.972,2
27039,compressor,utilities,evening,S2,predictive,79.22,2819.0,104.24,407.58,0.9703,2.833,5.774,84.29,93.14,13098.0,25.36,0,98.736,1
27040,conveyor,assembly,day,S3,reactive,41.37,846.8,36.08,403.4,0.915,1.458,5.466,74.08,82.97,16270.8,23.3,0,97.991,1
27041,turbine,utilities,night,S3,predictive,61.7,5462.9,230.57,404.95,0.8936,1.874,6.493,76.01,82.45,13774.1,27.81,0,99.667,1
27042,turbine,utilities,day,S3,preventive,107.86,6318.8,417.1,402.44,0.8684,3.691,5.675,110.43,126.86,17347.2,37.6,0,99.228,3
27043,turbine,assembly,day,S1,reactive,75.11,5658.0,263.01,407.04,0.9861,2.403,6.17,77.52,89.8,21435.0,24.45,0,98.345,1
27044,compressor,assembly,night,S2,reactive,33.91,2282.3,56.92,392.09,0.9728,4.938,5.657,64.51,77.01,5912.5,101.89,1,98.101,1
27045,pump,cold_storage,night,S2,predictive,69.56,2057.2,58.26,392.04,0.9208,2.442,5.962,87.97,98.67,18852.1,73.96,0,98.432,1
27046,compressor,cold_storage,day,S4,preventive,86.14,2968.6,114.89,403.27,0.8977,1.908,6.391,86.53,93.05,8458.3,60.57,0,98.663,1
27047,turbine,utilities,day,S3,reactive,94.6,5592.7,305.93,404.73,0.9051,4.393,5.15,93.75,102.85,18844.6,149.15,1,100.0,2
27048,pump,assembly,evening,S3,predictive,104.98,2574.2,86.86,393.88,0.8686,3.368,5.138,93.07,99.94,6353.8,40.55,0,99.747,1
27049,pump,utilities,day,S4,predictive,47.66,1743.0,35.21,404.6,0.8644,2.309,5.139,74.92,84.63,10364.1,34.36,1,98.794,1
27050,conveyor,packaging,evening,S2,preventive,63.05,893.1,49.28,409.29,0.8977,2.684,4.404,79.05,89.77,11533.0,25.45,0,99.5,1
27051,turbine,assembly,day,S1,preventive,81.56,5745.3,271.82,403.85,0.8986,2.497,5.678,86.44,99.59,32255.0,4.57,0,98.161,1
27052,conveyor,packaging,evening,S2,preventive,48.0,862.1,43.7,418.86,0.9397,3.117,4.688,81.22,96.85,19882.2,19.93,1,98.254,1
27053,mixer,utilities,night,S1,predictive,66.57,1536.8,93.69,403.33,0.9025,2.617,5.059,79.29,88.74,9060.1,68.69,2,99.548,2
27054,conveyor,utilities,night,S4,predictive,73.36,936.3,54.32,397.36,0.8823,2.257,5.11,86.63,91.15,26346.7,15.12,2,98.092,1
27055,pump,cold_storage,evening,S2,predictive,66.58,1982.8,45.41,394.76,0.915,1.634,5.894,72.34,78.59,2738.4,30.62,0,98.947,1
27056,turbine,packaging,day,S3,predictive,48.86,4203.2,134.31,395.59,0.9704,2.542,5.797,79.83,87.7,13230.2,84.52,0,99.355,1
27057,mixer,cold_storage,evening,S3,preventive,80.68,1624.2,117.49,389.62,0.928,2.574,5.103,77.76,87.88,5815.3,64.13,1,98.879,1
27058,compressor,cold_storage,evening,S2,preventive,78.85,3183.3,126.36,380.12,0.8838,2.782,6.361,86.44,96.65,20637.8,11.9,1,98.623,1
27059,compressor,packaging,day,S3,preventive,54.75,3262.4,96.91,399.78,0.9085,2.742,5.256,74.8,85.6,18035.1,74.1,0,99.179,1
27060,turbine,processing,evening,S3,preventive,64.88,4854.3,202.66,394.76,0.9298,1.601,6.485,82.68,90.46,19426.8,34.1,0,99.584,1
27061,mixer,utilities,evening,S2,predictive,46.26,1043.2,54.22,417.01,0.8942,2.515,4.992,,95.58,10937.9,21.34,0,,1
27062,compressor,packaging,evening,S1,preventive,63.55,2872.4,91.03,411.12,0.9062,2.459,5.772,73.84,82.15,52231.3,6.17,0,98.997,1
27063,conveyor,cold_storage,evening,S1,preventive,38.39,839.0,33.09,385.78,0.9072,2.305,5.683,60.58,72.54,9777.3,10.9,1,98.635,1
27064,pump,utilities,evening,S2,reactive,85.87,2390.1,69.47,413.8,0.9325,2.964,5.619,95.73,105.98,10750.0,65.37,0,97.718,2
27065,mixer,packaging,evening,S2,preventive,58.83,1457.7,91.25,399.22,0.9444,2.584,5.624,74.72,84.73,12693.9,57.67,0,98.485,1
27066,turbine,utilities,day,S1,predictive,63.41,4494.1,173.57,408.62,0.9318,1.572,5.578,81.06,87.73,20034.1,24.42,0,98.802,1
27067,turbine,cold_storage,evening,S2,preventive,98.6,5534.3,307.68,391.32,0.9049,3.272,4.572,86.77,93.82,6175.8,23.84,1,99.91,1
